name,address,addr:city,addr:postcode,cuisine,lat,lon,county
Berryhill Tacos Sugarland,Southwest Freeway,Sugar Land,77478,mexican,29.6227782,-95.5984241,Fort Bend
Wynn Network Plus,,,,,29.5865492,-95.5897429,Fort Bend
The Toasted Yolk Cafe,,,,,29.5963919,-95.6233118,Fort Bend
Schlotzsky's,Addicks-Howell Road,Houston,77083,sandwich,29.6827165,-95.6428388,Fort Bend
Pizza Bella,Pin Oak Road,Katy,77494,pizza,29.7709398,-95.8182819,Fort Bend
Mai Colachi BBQ & Grill,Southwest Freeway,Sugar Land,77478,,29.6222483,-95.597821,Fort Bend
Subway,Southwest Freeway,Sugar Land,77478,sandwich,29.621697,-95.6000397,Fort Bend
Subway,Highway 6 South,Sugar Land,77498,sandwich,29.6666479,-95.6441254,Fort Bend
Hooters,,,,burger,29.6339399,-95.5856998,Fort Bend
Good 'Ol Boys,,,,cajun,29.7765842,-95.833726,Fort Bend
Wendy's,West Grand Parkway South,Richmond,77407,burger,29.6633516,-95.7415132,Fort Bend
Little Caesars,West Grand Parkway South,Richmond,77407,pizza,29.6632887,-95.7413941,Fort Bend
Jack in the Box,West Grand Parkway South,Richmond,77407,burger,29.6627104,-95.7400631,Fort Bend
IL Primo Pizza & Winds,West Grand Parkway South,Richmond,77407,italian,29.6637756,-95.7369506,Fort Bend
Subway,South Post Oak,Houston,77053,sandwich,29.5952557,-95.4669526,Fort Bend
Frenchy's,,,,,29.595219,-95.4667521,Fort Bend
Starbucks,West Grand Parkway South,Richmond,77406,coffee_shop,29.6639031,-95.745368,Fort Bend
Papa John's,West Grand Parkway South,Richmond,77406,pizza,29.6640166,-95.7455576,Fort Bend
DQ Grill & Chill,US 90A,Sugar Land,77498-2012,ice_cream;burger,29.608569,-95.6580083,Fort Bend
Cicis,,,,pizza;buffet,29.7725196,-95.8176731,Fort Bend
Starbucks,Spring Green Boulevard,Katy,77494,coffee_shop,29.7631692,-95.8436498,Fort Bend
Subway,Spring Green Boulevard,Katy,77494,sandwich,29.763987,-95.8435646,Fort Bend
Russo's New York Pizzeria,,,,,29.7640729,-95.843578,Fort Bend
Fajita Petes,FM 1463,Katy,77494,mexican;tex-mex,29.7538513,-95.8510245,Fort Bend
Subway,FM 1463,Katy,77494,sandwich,29.7512513,-95.8523359,Fort Bend
Southern Maid Donuts,,,,,29.7511634,-95.8523307,Fort Bend
Pepperoni's,FM 1463,Katy,77494,pizza;sandwich,29.7508113,-95.850933,Fort Bend
Banh Mi - Juice and Sandwich,,,,,29.7508782,-95.850939,Fort Bend
Fusion Wok,,,,,29.7511582,-95.8509405,Fort Bend
